ui_event,ui_trigger,transport,method_or_event,request_payload,response_or_event_payload,tables_read,tables_written,ui_behavior,developer_notes
load_v2_interface,Open or refresh /v2,REST,GET /api/v2/bootstrap,"user_id?; conversation_id?","user_id; active_conversation?; messages[]; chat_items[]; recent_artifacts[]",chat_conversations; chat_messages; artifacts,none,Hydrate active conversation and artifact strip,chat_items is preferred for rendering; messages remains compatibility data.
open_filters,Click Filters button,REST,GET /api/v2/data-sources,user_id?,"data_sources[] {data_source_name; data_source_display_name; data_source_description}",data_source_registry,none,Render filters drawer,data_source_name is the stable value sent as filters.data_sources.
open_optional_context,Open Optional Context controls,REST,GET /api/v2/optional-context,"sources?; banks?; bank_categories?; years?; quarters?; keyword?; limit?","rows[]; missing[]; sources[]; bank_categories[]; fiscal_years[]; quarters[]",monitored_institutions; data_source_availability,none,Render bank period and source availability selectors,Availability lookup key is bank_ticker + fiscal_year + quarter.
open_documents,Open document list or document filters change,REST,GET /api/v2/documents,"sources?; banks?; bank_categories?; years?; quarters?; keyword?; limit?","documents[]; total; generated_at",source document metadata tables,none,Render source document list and viewer links,Preview/download URLs use /source-documents/{source}/{file_id}.
select_conversation,Open an existing chat,REST,GET /api/v2/conversations/{conversation_id},"user_id; conversation_id","conversation; messages[]; chat_items[]; artifacts[]",chat_conversations; chat_messages; artifacts,none,Set active conversation and load history,Use chat_items to render persisted widgets without parsing hidden markers.
refresh_artifacts,Artifact strip refresh after stream or tab focus,REST,GET /api/v2/conversations/{conversation_id}/artifacts,"user_id; conversation_id","artifacts[]",artifacts,none,Update artifact row scroller newest first,Artifact list is also updated from artifact.created events.
open_artifact,Click artifact tile,REST,GET /api/v2/artifacts/{artifact_id},"user_id; artifact_id","Artifact {id; session_id; kind; title; html; evidence_ids; created_at}",artifacts,none,Open artifact HTML in viewer,Artifact html is trusted internal content generated by Aegis.
open_source_document,Click source preview link,REST,GET /source-documents/{source}/{file_id}/preview,"source; file_id; optional #page or #sheet fragment",HTML/PDF/preview response,source document bytes and preview bytes,none,Open source document in viewer,Download original with /source-documents/{source}/{file_id}/download.
connect_agent,Open websocket,WebSocket,CONNECT /api/v2/ws,none,session.ready event,none,none,Mark session connected,Server creates a per-socket session_id.
send_query,Click Send,WebSocket,client message,"canonical: user_id; conversation_id?; query; filters; optional_context; model_selection; search_selection","stream of typed V2 events","catalog tables; chat history; artifacts; prompts; source retrieval tables","chat_messages; process_monitor_logs; artifacts; hidden widget messages",Append user message then stream status widgets artifacts and assistant response,Current frontend may also send content/context/preferences aliases during transition.
general_response,General or follow-up route,WebSocket,"tool.completed; final_response.started; chat.delta*; chat.message","run_uuid from accepted turn","assistant shell and streamed body",chat_messages; artifacts,chat_messages; process_monitor_logs,Render summary tiles and streamed answer,Final persisted message includes hidden final-shell marker for reload.
availability_response,Availability route,WebSocket,"tool.started; widget.created; tool.completed|tool.failed; widget.completed|widget.failed; chat.message","filters and optional_context from client message","HtmlWidget with data_availability payload",data_source_registry; monitored_institutions; data_source_availability,chat_messages; process_monitor_logs; hidden widget message,Render availability widget in chat,Completed/failed widget payloads are persisted as hidden tool messages for reload.
quick_research_response,Quick research route,WebSocket,"tool.started; tool.progress; artifact.created; tool.completed; final_response.started; chat.delta*; chat.message","search_selection=quick","quick_search artifact; final shell; streamed answer",selected V1 source retrieval tables; prompts,artifacts; chat_messages; process_monitor_logs,Render artifact tile and streamed answer,Quick research does not fall back to deep on error.
deep_research_response,Deep research route,WebSocket,"tool.started; artifact.created; tool.completed; final_response.started; chat.delta*; chat.message","search_selection=deep with bank+year+quarter scope","deep_search artifact; final shell; streamed answer",selected V1 source research flows; prompts,artifacts; chat_messages; process_monitor_logs,Render artifact tile and streamed answer,If required scope is missing Aegis sends clarifying chat.message and skips broad research.
widget_action,Click widget action,CLIENT,action_type from WidgetAction,"action_type; payload",local UI state update,none,none,Apply filters or open relevant UI panel,Aegis supplies action inputs; the UI owns widget behavior.
reference_link,Click reference link in chat/artifact,REST or viewer navigation,/source-documents/... or /api/v2/artifacts/...,"source/file/page or artifact_id",viewer target content,source documents; artifacts,none,Open reference in viewer,A single reference resolver endpoint remains deferred.
